borough,year_and_month,month,year,season,pandemic_period,recovery_success
hillingdon,2013-04-01,april,2013,spring,pre-pandemic,0
camden,2013-04-01,april,2013,spring,pre-pandemic,0
greenwich,2013-04-01,april,2013,spring,pre-pandemic,0
southwark,2013-04-01,april,2013,spring,pre-pandemic,0
hammersmith and fulham,2013-04-01,april,2013,spring,pre-pandemic,0
westminster,2013-04-01,april,2013,spring,pre-pandemic,0
hammersmith and fulham,2013-05-01,may,2013,spring,pre-pandemic,0
kingston upon thames,2013-05-01,may,2013,spring,pre-pandemic,0
sutton,2013-05-01,may,2013,spring,pre-pandemic,1
kensington and chelsea,2013-05-01,may,2013,spring,pre-pandemic,0
ealing,2013-05-01,may,2013,spring,pre-pandemic,0
tower hamlets,2013-05-01,may,2013,spring,pre-pandemic,0
hammersmith and fulham,2013-05-01,may,2013,spring,pre-pandemic,0
southwark,2013-05-01,may,2013,spring,pre-pandemic,0
redbridge,2013-06-01,june,2013,summer,pre-pandemic,1
kingston upon thames,2013-06-01,june,2013,summer,pre-pandemic,0
camden,2013-06-01,june,2013,summer,pre-pandemic,1
bromley,2013-06-01,june,2013,summer,pre-pandemic,0
enfield,2013-06-01,june,2013,summer,pre-pandemic,1
kingston upon thames,2013-06-01,june,2013,summer,pre-pandemic,0
tower hamlets,2013-06-01,june,2013,summer,pre-pandemic,0
hammersmith and fulham,2013-06-01,june,2013,summer,pre-pandemic,0
ealing,2013-06-01,june,2013,summer,pre-pandemic,1
merton,2013-06-01,june,2013,summer,pre-pandemic,0
ealing,2013-06-01,june,2013,summer,pre-pandemic,1
barking and dagenham,2013-06-01,june,2013,summer,pre-pandemic,0
lewisham,2013-06-01,june,2013,summer,pre-pandemic,0
greenwich,2013-06-01,june,2013,summer,pre-pandemic,0
camden,2013-06-01,june,2013,summer,pre-pandemic,0
enfield,2013-06-01,june,2013,summer,pre-pandemic,0
lambeth,2013-07-01,july,2013,summer,pre-pandemic,0
enfield,2013-07-01,july,2013,summer,pre-pandemic,0
islington,2013-07-01,july,2013,summer,pre-pandemic,0
bromley,2013-07-01,july,2013,summer,pre-pandemic,1
barking and dagenham,2013-07-01,july,2013,summer,pre-pandemic,0
enfield,2013-07-01,july,2013,summer,pre-pandemic,0
bexley,2013-07-01,july,2013,summer,pre-pandemic,0
camden,2013-07-01,july,2013,summer,pre-pandemic,0
greenwich,2013-07-01,july,2013,summer,pre-pandemic,0
waltham forest,2013-07-01,july,2013,summer,pre-pandemic,1
wandsworth,2013-07-01,july,2013,summer,pre-pandemic,0
croydon,2013-07-01,july,2013,summer,pre-pandemic,0
kingston upon thames,2013-07-01,july,2013,summer,pre-pandemic,0
hounslow,2013-07-01,july,2013,summer,pre-pandemic,0
waltham forest,2013-07-01,july,2013,summer,pre-pandemic,0
greenwich,2013-07-01,july,2013,summer,pre-pandemic,0
camden,2013-07-01,july,2013,summer,pre-pandemic,0
croydon,2013-07-01,july,2013,summer,pre-pandemic,0
islington,2013-07-01,july,2013,summer,pre-pandemic,0
bromley,2013-07-01,july,2013,summer,pre-pandemic,1
lambeth,2013-08-01,august,2013,summer,pre-pandemic,0
haringey,2013-08-01,august,2013,summer,pre-pandemic,0
enfield,2013-08-01,august,2013,summer,pre-pandemic,0
hounslow,2013-08-01,august,2013,summer,pre-pandemic,0
hounslow,2013-08-01,august,2013,summer,pre-pandemic,0
lewisham,2013-08-01,august,2013,summer,pre-pandemic,0
hackney,2013-08-01,august,2013,summer,pre-pandemic,0
wandsworth,2013-08-01,august,2013,summer,pre-pandemic,0
barking and dagenham,2013-08-01,august,2013,summer,pre-pandemic,0
enfield,2013-08-01,august,2013,summer,pre-pandemic,0
barnet,2013-08-01,august,2013,summer,pre-pandemic,0
barnet,2013-08-01,august,2013,summer,pre-pandemic,0
richmond upon thames,2013-08-01,august,2013,summer,pre-pandemic,1
bromley,2013-08-01,august,2013,summer,pre-pandemic,0
greenwich,2013-09-01,september,2013,autumn,pre-pandemic,0
waltham forest,2013-09-01,september,2013,autumn,pre-pandemic,1
bexley,2013-09-01,september,2013,autumn,pre-pandemic,0
hounslow,2013-09-01,september,2013,autumn,pre-pandemic,1
islington,2013-09-01,september,2013,autumn,pre-pandemic,0
southwark,2013-09-01,september,2013,autumn,pre-pandemic,0
hammersmith and fulham,2013-09-01,september,2013,autumn,pre-pandemic,1
wandsworth,2013-10-01,october,2013,autumn,pre-pandemic,0
ealing,2013-10-01,october,2013,autumn,pre-pandemic,1
hammersmith and fulham,2013-10-01,october,2013,autumn,pre-pandemic,1
bexley,2013-10-01,october,2013,autumn,pre-pandemic,0
tower hamlets,2013-10-01,october,2013,autumn,pre-pandemic,0
waltham forest,2013-10-01,october,2013,autumn,pre-pandemic,0
hillingdon,2013-10-01,october,2013,autumn,pre-pandemic,0
tower hamlets,2013-10-01,october,2013,autumn,pre-pandemic,0
haringey,2013-10-01,october,2013,autumn,pre-pandemic,0
bexley,2013-10-01,october,2013,autumn,pre-pandemic,0
bexley,2013-10-01,october,2013,autumn,pre-pandemic,0
bexley,2013-10-01,october,2013,autumn,pre-pandemic,0
bexley,2013-10-01,october,2013,autumn,pre-pandemic,0
bexley,2013-10-01,october,2013,autumn,pre-pandemic,0
bexley,2013-10-01,october,2013,autumn,pre-pandemic,0
bexley,2013-10-01,october,2013,autumn,pre-pandemic,0
bexley,2013-10-01,october,2013,autumn,pre-pandemic,0
enfield,2013-10-01,october,2013,autumn,pre-pandemic,0
kingston upon thames,2013-11-01,november,2013,autumn,pre-pandemic,0
barnet,2013-11-01,november,2013,autumn,pre-pandemic,1
haringey,2013-11-01,november,2013,autumn,pre-pandemic,0
kingston upon thames,2013-11-01,november,2013,autumn,pre-pandemic,0
merton,2013-11-01,november,2013,autumn,pre-pandemic,1
barking and dagenham,2013-11-01,november,2013,autumn,pre-pandemic,0
barking and dagenham,2013-11-01,november,2013,autumn,pre-pandemic,1
redbridge,2013-11-01,november,2013,autumn,pre-pandemic,0
merton,2013-11-01,november,2013,autumn,pre-pandemic,0
hammersmith and fulham,2013-11-01,november,2013,autumn,pre-pandemic,0
harrow,2013-11-01,november,2013,autumn,pre-pandemic,0
bromley,2013-11-01,november,2013,autumn,pre-pandemic,0
ealing,2013-11-01,november,2013,autumn,pre-pandemic,0
ealing,2013-12-01,december,2013,winter,pre-pandemic,0
hackney,2013-12-01,december,2013,winter,pre-pandemic,0
hillingdon,2013-12-01,december,2013,winter,pre-pandemic,0
hillingdon,2013-12-01,december,2013,winter,pre-pandemic,0
sutton,2013-12-01,december,2013,winter,pre-pandemic,0
hackney,2013-12-01,december,2013,winter,pre-pandemic,0
enfield,2013-12-01,december,2013,winter,pre-pandemic,0
bromley,2013-12-01,december,2013,winter,pre-pandemic,0
croydon,2013-12-01,december,2013,winter,pre-pandemic,0
hillingdon,2013-12-01,december,2013,winter,pre-pandemic,1
southwark,2013-12-01,december,2013,winter,pre-pandemic,1
hillingdon,2013-12-01,december,2013,winter,pre-pandemic,0
haringey,2013-12-01,december,2013,winter,pre-pandemic,0
barnet,2013-12-01,december,2013,winter,pre-pandemic,0
kensington and chelsea,2013-12-01,december,2013,winter,pre-pandemic,0
wandsworth,2013-12-01,december,2013,winter,pre-pandemic,1
richmond upon thames,2013-12-01,december,2013,winter,pre-pandemic,0
hackney,2014-01-01,january,2014,winter,pre-pandemic,0
redbridge,2014-01-01,january,2014,winter,pre-pandemic,0
croydon,2014-01-01,january,2014,winter,pre-pandemic,0
wandsworth,2014-01-01,january,2014,winter,pre-pandemic,1
barnet,2014-01-01,january,2014,winter,pre-pandemic,0
westminster,2014-01-01,january,2014,winter,pre-pandemic,0
southwark,2014-01-01,january,2014,winter,pre-pandemic,0
haringey,2014-01-01,january,2014,winter,pre-pandemic,0
newham,2014-01-01,january,2014,winter,pre-pandemic,0
sutton,2014-01-01,january,2014,winter,pre-pandemic,0
hillingdon,2014-01-01,january,2014,winter,pre-pandemic,0
havering,2014-01-01,january,2014,winter,pre-pandemic,0
wandsworth,2014-01-01,january,2014,winter,pre-pandemic,0
ealing,2014-01-01,january,2014,winter,pre-pandemic,0
enfield,2014-01-01,january,2014,winter,pre-pandemic,0
sutton,2014-02-01,february,2014,winter,pre-pandemic,0
westminster,2014-02-01,february,2014,winter,pre-pandemic,0
hackney,2014-02-01,february,2014,winter,pre-pandemic,0
greenwich,2014-02-01,february,2014,winter,pre-pandemic,0
hackney,2014-02-01,february,2014,winter,pre-pandemic,1
hackney,2014-02-01,february,2014,winter,pre-pandemic,0
barnet,2014-02-01,february,2014,winter,pre-pandemic,0
bexley,2014-02-01,february,2014,winter,pre-pandemic,0
hillingdon,2014-02-01,february,2014,winter,pre-pandemic,0
bromley,2014-02-01,february,2014,winter,pre-pandemic,1
waltham forest,2014-02-01,february,2014,winter,pre-pandemic,0
southwark,2014-02-01,february,2014,winter,pre-pandemic,0
bromley,2014-02-01,february,2014,winter,pre-pandemic,0
croydon,2014-03-01,march,2014,spring,pre-pandemic,1
lewisham,2014-03-01,march,2014,spring,pre-pandemic,0
bromley,2014-03-01,march,2014,spring,pre-pandemic,0
merton,2014-03-01,march,2014,spring,pre-pandemic,0
barnet,2014-03-01,march,2014,spring,pre-pandemic,0
barking and dagenham,2014-03-01,march,2014,spring,pre-pandemic,0
barking and dagenham,2014-03-01,march,2014,spring,pre-pandemic,0
lambeth,2014-03-01,march,2014,spring,pre-pandemic,0
hounslow,2014-03-01,march,2014,spring,pre-pandemic,0
hillingdon,2014-03-01,march,2014,spring,pre-pandemic,0
newham,2014-03-01,march,2014,spring,pre-pandemic,0
camden,2014-03-01,march,2014,spring,pre-pandemic,0
barnet,2014-03-01,march,2014,spring,pre-pandemic,0
barnet,2014-03-01,march,2014,spring,pre-pandemic,0
havering,2014-03-01,march,2014,spring,pre-pandemic,0
barking and dagenham,2014-03-01,march,2014,spring,pre-pandemic,0
lambeth,2014-03-01,march,2014,spring,pre-pandemic,1
southwark,2014-03-01,march,2014,spring,pre-pandemic,0
southwark,2014-03-01,march,2014,spring,pre-pandemic,0
southwark,2014-03-01,march,2014,spring,pre-pandemic,0
lambeth,2014-03-01,march,2014,spring,pre-pandemic,0
wandsworth,2014-03-01,march,2014,spring,pre-pandemic,1
hounslow,2014-03-01,march,2014,spring,pre-pandemic,0
greenwich,2014-03-01,march,2014,spring,pre-pandemic,0
hillingdon,2014-03-01,march,2014,spring,pre-pandemic,0
barking and dagenham,2014-03-01,march,2014,spring,pre-pandemic,0
barnet,2014-03-01,march,2014,spring,pre-pandemic,0
redbridge,2014-03-01,march,2014,spring,pre-pandemic,1
hounslow,2014-03-01,march,2014,spring,pre-pandemic,0
hounslow,2014-03-01,march,2014,spring,pre-pandemic,0
croydon,2014-03-01,march,2014,spring,pre-pandemic,0
sutton,2014-03-01,march,2014,spring,pre-pandemic,0
havering,2014-04-01,april,2014,spring,pre-pandemic,0
hammersmith and fulham,2014-04-01,april,2014,spring,pre-pandemic,0
bromley,2014-04-01,april,2014,spring,pre-pandemic,0
redbridge,2014-04-01,april,2014,spring,pre-pandemic,1
bromley,2014-04-01,april,2014,spring,pre-pandemic,0
waltham forest,2014-04-01,april,2014,spring,pre-pandemic,0
bromley,2014-04-01,april,2014,spring,pre-pandemic,0
barking and dagenham,2014-04-01,april,2014,spring,pre-pandemic,1
brent,2014-04-01,april,2014,spring,pre-pandemic,1
lambeth,2014-05-01,may,2014,spring,pre-pandemic,0
enfield,2014-05-01,may,2014,spring,pre-pandemic,0
croydon,2014-05-01,may,2014,spring,pre-pandemic,0
croydon,2014-05-01,may,2014,spring,pre-pandemic,0
croydon,2014-05-01,may,2014,spring,pre-pandemic,0
hillingdon,2014-05-01,may,2014,spring,pre-pandemic,0
greenwich,2014-05-01,may,2014,spring,pre-pandemic,1
bromley,2014-05-01,may,2014,spring,pre-pandemic,0
bexley,2014-05-01,may,2014,spring,pre-pandemic,0
kensington and chelsea,2014-05-01,may,2014,spring,pre-pandemic,0
lewisham,2014-05-01,may,2014,spring,pre-pandemic,0
hackney,2014-05-01,may,2014,spring,pre-pandemic,0
waltham forest,2014-05-01,may,2014,spring,pre-pandemic,0
westminster,2014-05-01,may,2014,spring,pre-pandemic,0
kingston upon thames,2014-05-01,may,2014,spring,pre-pandemic,0
lewisham,2014-05-01,may,2014,spring,pre-pandemic,1
redbridge,2014-06-01,june,2014,summer,pre-pandemic,0
hammersmith and fulham,2014-06-01,june,2014,summer,pre-pandemic,0
lambeth,2014-06-01,june,2014,summer,pre-pandemic,0
tower hamlets,2014-06-01,june,2014,summer,pre-pandemic,0
hounslow,2014-06-01,june,2014,summer,pre-pandemic,0
bromley,2014-06-01,june,2014,summer,pre-pandemic,0
barking and dagenham,2014-06-01,june,2014,summer,pre-pandemic,0
bromley,2014-06-01,june,2014,summer,pre-pandemic,0
southwark,2014-06-01,june,2014,summer,pre-pandemic,0
barking and dagenham,2014-06-01,june,2014,summer,pre-pandemic,0
tower hamlets,2014-06-01,june,2014,summer,pre-pandemic,0
tower hamlets,2014-06-01,june,2014,summer,pre-pandemic,0
tower hamlets,2014-06-01,june,2014,summer,pre-pandemic,0
greenwich,2014-06-01,june,2014,summer,pre-pandemic,0
camden,2014-06-01,june,2014,summer,pre-pandemic,0
barnet,2014-07-01,july,2014,summer,pre-pandemic,0
enfield,2014-07-01,july,2014,summer,pre-pandemic,0
enfield,2014-07-01,july,2014,summer,pre-pandemic,0
barking and dagenham,2014-07-01,july,2014,summer,pre-pandemic,0
greenwich,2014-07-01,july,2014,summer,pre-pandemic,0
greenwich,2014-07-01,july,2014,summer,pre-pandemic,0
greenwich,2014-07-01,july,2014,summer,pre-pandemic,0
greenwich,2014-07-01,july,2014,summer,pre-pandemic,0
enfield,2014-07-01,july,2014,summer,pre-pandemic,1
hillingdon,2014-07-01,july,2014,summer,pre-pandemic,0
hounslow,2014-07-01,july,2014,summer,pre-pandemic,0
bromley,2014-07-01,july,2014,summer,pre-pandemic,0
havering,2014-07-01,july,2014,summer,pre-pandemic,0
islington,2014-07-01,july,2014,summer,pre-pandemic,1
hillingdon,2014-07-01,july,2014,summer,pre-pandemic,0
brent,2014-07-01,july,2014,summer,pre-pandemic,0
tower hamlets,2014-07-01,july,2014,summer,pre-pandemic,0
westminster,2014-07-01,july,2014,summer,pre-pandemic,0
newham,2014-07-01,july,2014,summer,pre-pandemic,0
croydon,2014-07-01,july,2014,summer,pre-pandemic,0
hammersmith and fulham,2014-07-01,july,2014,summer,pre-pandemic,0
hackney,2014-07-01,july,2014,summer,pre-pandemic,0
enfield,2014-07-01,july,2014,summer,pre-pandemic,0
haringey,2014-08-01,august,2014,summer,pre-pandemic,0
lewisham,2014-08-01,august,2014,summer,pre-pandemic,0
waltham forest,2014-08-01,august,2014,summer,pre-pandemic,0
richmond upon thames,2014-08-01,august,2014,summer,pre-pandemic,1
redbridge,2014-08-01,august,2014,summer,pre-pandemic,0
hackney,2014-08-01,august,2014,summer,pre-pandemic,0
islington,2014-08-01,august,2014,summer,pre-pandemic,0
redbridge,2014-08-01,august,2014,summer,pre-pandemic,0
camden,2014-08-01,august,2014,summer,pre-pandemic,0
enfield,2014-08-01,august,2014,summer,pre-pandemic,0
newham,2014-08-01,august,2014,summer,pre-pandemic,0
bexley,2014-08-01,august,2014,summer,pre-pandemic,0
brent,2014-08-01,august,2014,summer,pre-pandemic,0
kensington and chelsea,2014-08-01,august,2014,summer,pre-pandemic,0
hackney,2014-08-01,august,2014,summer,pre-pandemic,0
lewisham,2014-08-01,august,2014,summer,pre-pandemic,0
sutton,2014-08-01,august,2014,summer,pre-pandemic,0
croydon,2014-08-01,august,2014,summer,pre-pandemic,0
enfield,2014-08-01,august,2014,summer,pre-pandemic,1
waltham forest,2014-08-01,august,2014,summer,pre-pandemic,0
ealing,2014-08-01,august,2014,summer,pre-pandemic,0
brent,2014-09-01,september,2014,autumn,pre-pandemic,0
haringey,2014-09-01,september,2014,autumn,pre-pandemic,0
ealing,2014-09-01,september,2014,autumn,pre-pandemic,1
kensington and chelsea,2014-09-01,september,2014,autumn,pre-pandemic,1
bromley,2014-09-01,september,2014,autumn,pre-pandemic,0
bromley,2014-09-01,september,2014,autumn,pre-pandemic,0
southwark,2014-09-01,september,2014,autumn,pre-pandemic,0
brent,2014-09-01,september,2014,autumn,pre-pandemic,0
lambeth,2014-09-01,september,2014,autumn,pre-pandemic,0
camden,2014-09-01,september,2014,autumn,pre-pandemic,0
waltham forest,2014-09-01,september,2014,autumn,pre-pandemic,1
bexley,2014-09-01,september,2014,autumn,pre-pandemic,0
wandsworth,2014-09-01,september,2014,autumn,pre-pandemic,0
islington,2014-10-01,october,2014,autumn,pre-pandemic,0
tower hamlets,2014-10-01,october,2014,autumn,pre-pandemic,0
sutton,2014-10-01,october,2014,autumn,pre-pandemic,0
wandsworth,2014-10-01,october,2014,autumn,pre-pandemic,0
hackney,2014-10-01,october,2014,autumn,pre-pandemic,0
hackney,2014-10-01,october,2014,autumn,pre-pandemic,0
hackney,2014-10-01,october,2014,autumn,pre-pandemic,0
enfield,2014-10-01,october,2014,autumn,pre-pandemic,0
brent,2014-10-01,october,2014,autumn,pre-pandemic,0
southwark,2014-10-01,october,2014,autumn,pre-pandemic,0
waltham forest,2014-10-01,october,2014,autumn,pre-pandemic,0
camden,2014-10-01,october,2014,autumn,pre-pandemic,0
greenwich,2014-10-01,october,2014,autumn,pre-pandemic,0
barking and dagenham,2014-10-01,october,2014,autumn,pre-pandemic,0
brent,2014-10-01,october,2014,autumn,pre-pandemic,0
islington,2014-10-01,october,2014,autumn,pre-pandemic,0
croydon,2014-10-01,october,2014,autumn,pre-pandemic,0
tower hamlets,2014-10-01,october,2014,autumn,pre-pandemic,1
enfield,2014-11-01,november,2014,autumn,pre-pandemic,0
kensington and chelsea,2014-11-01,november,2014,autumn,pre-pandemic,0
waltham forest,2014-11-01,november,2014,autumn,pre-pandemic,1
barking and dagenham,2014-11-01,november,2014,autumn,pre-pandemic,0
lambeth,2014-11-01,november,2014,autumn,pre-pandemic,0
hackney,2014-11-01,november,2014,autumn,pre-pandemic,0
barnet,2014-11-01,november,2014,autumn,pre-pandemic,0
southwark,2014-11-01,november,2014,autumn,pre-pandemic,0
newham,2014-11-01,november,2014,autumn,pre-pandemic,0
newham,2014-11-01,november,2014,autumn,pre-pandemic,0
croydon,2014-11-01,november,2014,autumn,pre-pandemic,0
lewisham,2014-11-01,november,2014,autumn,pre-pandemic,0
haringey,2014-11-01,november,2014,autumn,pre-pandemic,1
ealing,2014-11-01,november,2014,autumn,pre-pandemic,0
enfield,2014-11-01,november,2014,autumn,pre-pandemic,0
bromley,2014-12-01,december,2014,winter,pre-pandemic,0
bromley,2014-12-01,december,2014,winter,pre-pandemic,1
lambeth,2014-12-01,december,2014,winter,pre-pandemic,0
wandsworth,2014-12-01,december,2014,winter,pre-pandemic,0
haringey,2014-12-01,december,2014,winter,pre-pandemic,0
southwark,2014-12-01,december,2014,winter,pre-pandemic,0
barnet,2014-12-01,december,2014,winter,pre-pandemic,0
westminster,2014-12-01,december,2014,winter,pre-pandemic,0
waltham forest,2014-12-01,december,2014,winter,pre-pandemic,1
haringey,2014-12-01,december,2014,winter,pre-pandemic,0
lambeth,2014-12-01,december,2014,winter,pre-pandemic,0
croydon,2014-12-01,december,2014,winter,pre-pandemic,0
southwark,2014-12-01,december,2014,winter,pre-pandemic,0
barnet,2014-12-01,december,2014,winter,pre-pandemic,1
kingston upon thames,2014-12-01,december,2014,winter,pre-pandemic,0
sutton,2015-01-01,january,2015,winter,pre-pandemic,0
croydon,2015-01-01,january,2015,winter,pre-pandemic,0
hackney,2015-01-01,january,2015,winter,pre-pandemic,0
lewisham,2015-01-01,january,2015,winter,pre-pandemic,0
wandsworth,2015-01-01,january,2015,winter,pre-pandemic,0
waltham forest,2015-01-01,january,2015,winter,pre-pandemic,0
hillingdon,2015-01-01,january,2015,winter,pre-pandemic,0
wandsworth,2015-01-01,january,2015,winter,pre-pandemic,1
lambeth,2015-01-01,january,2015,winter,pre-pandemic,0
brent,2015-01-01,january,2015,winter,pre-pandemic,0
croydon,2015-01-01,january,2015,winter,pre-pandemic,0
waltham forest,2015-01-01,january,2015,winter,pre-pandemic,0
greenwich,2015-01-01,january,2015,winter,pre-pandemic,0
merton,2015-01-01,january,2015,winter,pre-pandemic,0
islington,2015-01-01,january,2015,winter,pre-pandemic,0
croydon,2015-02-01,february,2015,winter,pre-pandemic,0
lewisham,2015-02-01,february,2015,winter,pre-pandemic,0
bromley,2015-02-01,february,2015,winter,pre-pandemic,0
richmond upon thames,2015-02-01,february,2015,winter,pre-pandemic,0
croydon,2015-02-01,february,2015,winter,pre-pandemic,1
wandsworth,2015-02-01,february,2015,winter,pre-pandemic,0
lambeth,2015-02-01,february,2015,winter,pre-pandemic,0
hackney,2015-02-01,february,2015,winter,pre-pandemic,0
hillingdon,2015-02-01,february,2015,winter,pre-pandemic,0
bromley,2015-02-01,february,2015,winter,pre-pandemic,0
hammersmith and fulham,2015-02-01,february,2015,winter,pre-pandemic,0
ealing,2015-02-01,february,2015,winter,pre-pandemic,0
lewisham,2015-02-01,february,2015,winter,pre-pandemic,0
bexley,2015-03-01,march,2015,spring,pre-pandemic,1
merton,2015-03-01,march,2015,spring,pre-pandemic,0
greenwich,2015-03-01,march,2015,spring,pre-pandemic,0
hammersmith and fulham,2015-03-01,march,2015,spring,pre-pandemic,0
brent,2015-03-01,march,2015,spring,pre-pandemic,0
hackney,2015-03-01,march,2015,spring,pre-pandemic,1
bromley,2015-03-01,march,2015,spring,pre-pandemic,0
bromley,2015-03-01,march,2015,spring,pre-pandemic,0
bromley,2015-03-01,march,2015,spring,pre-pandemic,0
bromley,2015-03-01,march,2015,spring,pre-pandemic,0
hammersmith and fulham,2015-03-01,march,2015,spring,pre-pandemic,1
westminster,2015-03-01,march,2015,spring,pre-pandemic,1
merton,2015-03-01,march,2015,spring,pre-pandemic,0
kensington and chelsea,2015-03-01,march,2015,spring,pre-pandemic,0
islington,2015-03-01,march,2015,spring,pre-pandemic,0
barking and dagenham,2015-03-01,march,2015,spring,pre-pandemic,1
hounslow,2015-03-01,march,2015,spring,pre-pandemic,0
hillingdon,2015-03-01,march,2015,spring,pre-pandemic,0
haringey,2015-03-01,march,2015,spring,pre-pandemic,0
kensington and chelsea,2015-03-01,march,2015,spring,pre-pandemic,0
lambeth,2015-04-01,april,2015,spring,pre-pandemic,0
harrow,2015-04-01,april,2015,spring,pre-pandemic,0
lambeth,2015-04-01,april,2015,spring,pre-pandemic,0
lambeth,2015-04-01,april,2015,spring,pre-pandemic,0
merton,2015-04-01,april,2015,spring,pre-pandemic,0
camden,2015-04-01,april,2015,spring,pre-pandemic,0
waltham forest,2015-04-01,april,2015,spring,pre-pandemic,0
brent,2015-04-01,april,2015,spring,pre-pandemic,0
islington,2015-04-01,april,2015,spring,pre-pandemic,0
hackney,2015-04-01,april,2015,spring,pre-pandemic,1
bromley,2015-04-01,april,2015,spring,pre-pandemic,0
redbridge,2015-04-01,april,2015,spring,pre-pandemic,0
barking and dagenham,2015-04-01,april,2015,spring,pre-pandemic,0
barnet,2015-04-01,april,2015,spring,pre-pandemic,0
redbridge,2015-04-01,april,2015,spring,pre-pandemic,0
lewisham,2015-04-01,april,2015,spring,pre-pandemic,0
westminster,2015-05-01,may,2015,spring,pre-pandemic,0
islington,2015-05-01,may,2015,spring,pre-pandemic,0
barking and dagenham,2015-05-01,may,2015,spring,pre-pandemic,0
barking and dagenham,2015-05-01,may,2015,spring,pre-pandemic,0
camden,2015-05-01,may,2015,spring,pre-pandemic,0
westminster,2015-05-01,may,2015,spring,pre-pandemic,0
hounslow,2015-05-01,may,2015,spring,pre-pandemic,0
havering,2015-05-01,may,2015,spring,pre-pandemic,0
hounslow,2015-06-01,june,2015,summer,pre-pandemic,0
bexley,2015-06-01,june,2015,summer,pre-pandemic,0
barking and dagenham,2015-06-01,june,2015,summer,pre-pandemic,0
haringey,2015-06-01,june,2015,summer,pre-pandemic,0
lewisham,2015-06-01,june,2015,summer,pre-pandemic,0
lambeth,2015-06-01,june,2015,summer,pre-pandemic,0
barnet,2015-06-01,june,2015,summer,pre-pandemic,0
richmond upon thames,2015-06-01,june,2015,summer,pre-pandemic,0
camden,2015-06-01,june,2015,summer,pre-pandemic,0
greenwich,2015-06-01,june,2015,summer,pre-pandemic,1
lambeth,2015-06-01,june,2015,summer,pre-pandemic,0
haringey,2015-06-01,june,2015,summer,pre-pandemic,0
haringey,2015-06-01,june,2015,summer,pre-pandemic,0
ealing,2015-06-01,june,2015,summer,pre-pandemic,0
bromley,2015-06-01,june,2015,summer,pre-pandemic,0
hillingdon,2015-06-01,june,2015,summer,pre-pandemic,0
hackney,2015-06-01,june,2015,summer,pre-pandemic,0
lambeth,2015-06-01,june,2015,summer,pre-pandemic,0
sutton,2015-06-01,june,2015,summer,pre-pandemic,0
haringey,2015-06-01,june,2015,summer,pre-pandemic,0
haringey,2015-06-01,june,2015,summer,pre-pandemic,0
haringey,2015-06-01,june,2015,summer,pre-pandemic,0
redbridge,2015-06-01,june,2015,summer,pre-pandemic,1
enfield,2015-06-01,june,2015,summer,pre-pandemic,0
tower hamlets,2015-06-01,june,2015,summer,pre-pandemic,0
westminster,2015-07-01,july,2015,summer,pre-pandemic,0
harrow,2015-07-01,july,2015,summer,pre-pandemic,0
redbridge,2015-07-01,july,2015,summer,pre-pandemic,0
southwark,2015-07-01,july,2015,summer,pre-pandemic,0
kingston upon thames,2015-07-01,july,2015,summer,pre-pandemic,0
barking and dagenham,2015-07-01,july,2015,summer,pre-pandemic,0
ealing,2015-07-01,july,2015,summer,pre-pandemic,0
croydon,2015-07-01,july,2015,summer,pre-pandemic,0
croydon,2015-07-01,july,2015,summer,pre-pandemic,0
westminster,2015-07-01,july,2015,summer,pre-pandemic,0
wandsworth,2015-07-01,july,2015,summer,pre-pandemic,0
westminster,2015-07-01,july,2015,summer,pre-pandemic,0
sutton,2015-07-01,july,2015,summer,pre-pandemic,0
westminster,2015-07-01,july,2015,summer,pre-pandemic,0
greenwich,2015-07-01,july,2015,summer,pre-pandemic,0
hounslow,2015-07-01,july,2015,summer,pre-pandemic,0
waltham forest,2015-07-01,july,2015,summer,pre-pandemic,0
barking and dagenham,2015-08-01,august,2015,summer,pre-pandemic,0
westminster,2015-08-01,august,2015,summer,pre-pandemic,0
enfield,2015-08-01,august,2015,summer,pre-pandemic,0
southwark,2015-08-01,august,2015,summer,pre-pandemic,1
bromley,2015-08-01,august,2015,summer,pre-pandemic,0
bromley,2015-08-01,august,2015,summer,pre-pandemic,0
greenwich,2015-08-01,august,2015,summer,pre-pandemic,0
tower hamlets,2015-08-01,august,2015,summer,pre-pandemic,0
greenwich,2015-08-01,august,2015,summer,pre-pandemic,0
ealing,2015-08-01,august,2015,summer,pre-pandemic,0
greenwich,2015-08-01,august,2015,summer,pre-pandemic,0
ealing,2015-08-01,august,2015,summer,pre-pandemic,0
kensington and chelsea,2015-08-01,august,2015,summer,pre-pandemic,0
islington,2015-08-01,august,2015,summer,pre-pandemic,0
southwark,2015-08-01,august,2015,summer,pre-pandemic,0
haringey,2015-08-01,august,2015,summer,pre-pandemic,0
lewisham,2015-08-01,august,2015,summer,pre-pandemic,0
hounslow,2015-08-01,august,2015,summer,pre-pandemic,0
greenwich,2015-08-01,august,2015,summer,pre-pandemic,1
croydon,2015-08-01,august,2015,summer,pre-pandemic,0
wandsworth,2015-08-01,august,2015,summer,pre-pandemic,0
southwark,2015-08-01,august,2015,summer,pre-pandemic,0
wandsworth,2015-08-01,august,2015,summer,pre-pandemic,0
greenwich,2015-08-01,august,2015,summer,pre-pandemic,0
richmond upon thames,2015-08-01,august,2015,summer,pre-pandemic,0
